Date,Open,High,Low,Close,Adj Close,Volume
1/29/2021,379.709991,413.980011,250,325,325,50566100
2/1/2021,316.559998,322,212,225,225,37382200
2/2/2021,140.759995,158,74.220001,90,90,78183100
2/3/2021,112.010002,113.400002,85.25,92.410004,92.410004,42698500
2/4/2021,91.190002,91.5,53.330002,53.5,53.5,62427300
2/5/2021,54.040001,95,51.09,63.77,63.77,81345000
2/8/2021,72.410004,72.660004,58.02,60,60,25687300
2/9/2021,56.610001,57,46.52,50.310001,50.310001,26843100
2/10/2021,50.77,62.830002,46.549999,51.200001,51.200001,36455000
2/11/2021,50.009998,55.32,48.220001,51.099998,51.099998,13056700
2/12/2021,50.75,55.240002,48.049999,52.400002,52.400002,14573300
2/16/2021,52.66,53.5,49.040001,49.509998,49.509998,8175000
2/17/2021,49.77,51.189999,44.560001,45.939999,45.939999,9186800
2/18/2021,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
2/19/2021,41.279999,43.889999,38.5,40.59,40.59,14828200
2/22/2021,46.689999,48.509998,42.400002,46,46,19476000
2/23/2021,44.970001,46.23,40,44.970001,44.970001,7565200
2/24/2021,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
2/25/2021,169.559998,184.679993,101,108.730003,108.730003,150308800
2/26/2021,117.459999,142.899994,86,101.739998,101.739998,91963000
3/1/2021,104.540001,133.990005,99.970001,120.400002,120.400002,49597300
3/2/2021,116.93,133.199997,112.199997,118.18,118.18,33640400
3/3/2021,122.510002,127.75,113.120003,124.18,124.18,19173700
3/4/2021,125,147.869995,115.300003,132.350006,132.350006,32473600
3/5/2021,128.169998,151.529999,127.5,137.740005,137.740005,30660200
3/8/2021,154.889999,210.869995,146.100006,194.5,194.5,63424800
3/9/2021,217.710007,249.850006,208.509995,246.899994,246.899994,38725800
3/10/2021,269.429993,348.5,172,265,265,71361900
3/11/2021,241.639999,281.5,232.600006,260,260,28186000
3/12/2021,275,295.5,262.269989,264.5,264.5,25760700
3/15/2021,277.519989,283,206,220.139999,220.139999,24100400
3/16/2021,203.160004,220.699997,172.350006,208.169998,208.169998,35241900
3/17/2021,217.839996,231.470001,204,209.809998,209.809998,16259300
3/18/2021,214,218.880005,195.649994,201.75,201.75,11764900
3/19/2021,195.729996,227,182.660004,200.270004,200.270004,24552100
3/22/2021,205.259995,210.360001,186.199997,194.490005,194.490005,10061500
3/23/2021,197.5,201.75,177.550003,181.75,181.75,14429100
3/24/2021,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
3/25/2021,123.489998,187.5,116.900002,183.75,183.75,50962300
3/26/2021,197.679993,218.929993,163.259995,181,181,37371900
3/29/2021,180.75,193.919998,173.509995,181.300003,181.300003,10042200
3/30/2021,187.5,204.300003,182,194.460007,194.460007,17094900
3/31/2021,197.5,199.460007,187.110001,189.820007,189.820007,8393800
4/1/2021,193.360001,196.970001,183.600006,191.449997,191.449997,9334300
4/5/2021,171,195,164.809998,186.949997,186.949997,14070500
4/6/2021,185.210007,192,183.559998,184.5,184.5,6218300
4/7/2021,183.220001,184.5,176.110001,177.970001,177.970001,4768300
4/8/2021,185.880005,185.880005,164.300003,170.259995,170.259995,10047400
4/9/2021,169.699997,171.580002,153,158.360001,158.360001,9442000
4/12/2021,158.110001,163.899994,135.009995,141.089996,141.089996,16683600
4/13/2021,141.880005,145.380005,132,140.990005,140.990005,6806900
4/14/2021,143.570007,174.089996,143,166.529999,166.529999,21138100
4/15/2021,163,166.25,152.800003,156.440002,156.440002,7856800
4/16/2021,156,160.199997,151.25,154.690002,154.690002,5139700
4/19/2021,171.800003,175.199997,162.330002,164.369995,164.369995,10520200
4/20/2021,164.139999,164.889999,153.360001,158.529999,158.529999,4658600
4/21/2021,158.399994,162.979996,155.919998,158.509995,158.509995,3812800
4/22/2021,159.100006,159.100006,146.860001,151.169998,151.169998,4345800
4/23/2021,149,153.660004,144.699997,151.179993,151.179993,4029100
4/26/2021,150.979996,174.679993,148.759995,168.929993,168.929993,10532100
4/27/2021,183.550003,188,173.169998,177.770004,177.770004,8932700
4/28/2021,172.100006,181.979996,166.029999,178.580002,178.580002,5788900
